Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments
147,10313902,Reef_Check,-13.8883,146.5563,Pacific,146.33.38E.13.53.3S,Central Indo-Pacific,Coral Sea,Australia,Queensland,Coral Sea Islands Territory,nd,144745.51,Exposed,0.0506,72.55,1,3,2004,6,Hard Coral,51.88,Population,20,301.05,302.5,299.94,295.51,305.32,1.72,5,0.76,0.83,0,-3.28,4.59,0,6.13,32,5,0,3.11,17.15,1.72,0.43,1.72,-6.55,3.25,-2.12,0,1.27,6,0,0,1.06,7.63,0.34,01-03-2004,nd,nd,nd
147,10313902,Reef_Check,-13.8883,146.5563,Pacific,146.33.38E.13.53.3S,Central Indo-Pacific,Coral Sea,Australia,Queensland,Coral Sea Islands Territory,nd,144745.51,Exposed,0.0506,72.55,1,3,2004,6,Nutrient Indicator Algae,0,Population,20,301.05,302.5,299.94,295.51,305.32,1.72,5,0.76,0.83,0,-3.28,4.59,0,6.13,32,5,0,3.11,17.15,1.72,0.43,1.72,-6.55,3.25,-2.12,0,1.27,6,0,0,1.06,7.63,0.34,01-03-2004,nd,nd,nd
182,10315019,Reef_Check,-27.4701,153.3491,Pacific,153.349116E.27.470136S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,North Stradbroke Island,nd,2009.22,Sheltered,0.2412,47.92,25,11,2017,2,Hard Coral,12.5,Population,20,299.81,297.32,295.86,289.23,304.48,3.01,6,-0.44,0.89,0,-3.19,4.55,9,4.84,23,6,9.23,3.34,18.23,2.33,-2.62,3.01,-10.71,4.53,-4.07,0,1.93,8,1,0,1.63,10.6,0.51,25-11-2017,nd,nd,nd
182,10315019,Reef_Check,-27.4701,153.3491,Pacific,153.349116E.27.470136S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,North Stradbroke Island,nd,2009.22,Sheltered,0.2412,47.92,25,11,2017,2,Nutrient Indicator Algae,2.5,Population,20,299.81,297.32,295.86,289.23,304.48,3.01,6,-0.44,0.89,0,-3.19,4.55,9,4.84,23,6,9.23,3.34,18.23,2.33,-2.62,3.01,-10.71,4.53,-4.07,0,1.93,8,1,0,1.63,10.6,0.51,25-11-2017,nd,nd,nd
188,10314938,Reef_Check,-27.4191,153.2416,Pacific,153.2416E.27.419083S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,Green Island,nd,586.28,Sheltered,0.3246,48.41,18,11,2015,3,Hard Coral,6.88,Population,20,299.62,297.83,295.82,289.23,305.77,3.1,7,0.28,0.98,0,-3.31,5.86,10,5.05,23,6,3.32,4.18,38.75,2.49,-2.09,3.1,-10.68,5.84,-4.09,1,1.81,7,1,0,1.81,13.94,0.6,18-11-2015,nd,nd,nd
188,10314938,Reef_Check,-27.4191,153.2416,Pacific,153.2416E.27.419083S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,Green Island,nd,586.28,Sheltered,0.3246,48.41,18,11,2015,3,Nutrient Indicator Algae,13.12,Population,20,299.62,297.83,295.82,289.23,305.77,3.1,7,0.28,0.98,0,-3.31,5.86,10,5.05,23,6,3.32,4.18,38.75,2.49,-2.09,3.1,-10.68,5.84,-4.09,1,1.81,7,1,0,1.81,13.94,0.6,18-11-2015,nd,nd,nd
225,10315066,Reef_Check,-26.9777,153.484,Pacific,153.484E.26.9777S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,Moreton Island,nd,5778.83,Exposed,0.0686,48.04,13,12,2015,10,Hard Coral,67.5,Population,21.25,299.55,298.05,296.8,291.83,301.66,2.15,7,-0.12,0.71,0,-2.7,2.83,10,3.34,18,3,3.6,1.87,10.26,1.21,-1.61,2.15,-7.82,2,-2.85,1,1.1,4,0,0,0.77,5.35,0.23,13-12-2015,nd,nd,nd
225,10315066,Reef_Check,-26.9777,153.484,Pacific,153.484E.26.9777S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,Moreton Island,nd,5778.83,Exposed,0.0686,48.04,13,12,2015,10,Nutrient Indicator Algae,9.38,Population,21.25,299.55,298.05,296.8,291.83,301.66,2.15,7,-0.12,0.71,0,-2.7,2.83,10,3.34,18,3,3.6,1.87,10.26,1.21,-1.61,2.15,-7.82,2,-2.85,1,1.1,4,0,0,0.77,5.35,0.23,13-12-2015,nd,nd,nd
130,10313673,Reef_Check,-15.983,145.8224,Pacific,145.49.343E.15.58.978S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,38506.76,Sheltered,0.0781,48.8,29,8,2015,6,Hard Coral,63.12,Population,22.5,298.86,298.91,299.65,295.42,306.1,1.92,4,1.43,0.84,0,-3.21,4.62,6,5.8,31,5,1.04,3.19,18.16,1.9,-3.19,1.92,-6.67,4,-2.44,4,1.51,7,1,0,1.36,9.2,0.48,29-08-2015,nd,nd,nd
130,10313673,Reef_Check,-15.983,145.8224,Pacific,145.49.343E.15.58.978S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,38506.76,Sheltered,0.0781,48.8,29,8,2015,6,Nutrient Indicator Algae,3.75,Population,22.5,298.86,298.91,299.65,295.42,306.1,1.92,4,1.43,0.84,0,-3.21,4.62,6,5.8,31,5,1.04,3.19,18.16,1.9,-3.19,1.92,-6.67,4,-2.44,4,1.51,7,1,0,1.36,9.2,0.48,29-08-2015,nd,nd,nd
1116,10313775,Reef_Check,-16.4375,145.9922,Pacific,145.59.53E.16.26.25S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Norman Reef,nd,47718.11,Sheltered,0.0622,60.01,3,3,2010,5,Hard Coral,45,Population,22.5,300.4,303.66,299.63,294.73,305.7,1.97,5,1.95,0.85,0,-3.64,4.17,14,6.11,32,5,5.04,3.17,20.23,1.97,1.51,1.97,-7.41,3.54,-2.51,3,1.46,6,1,3.64,1.25,7.36,0.46,03-03-2010,nd,nd,nd
